on_2b,bases,on_1b,hd_3,hu_3,hu_4,topBottom,hu_2,hd_1,hd_4,on_3b,hu_1,hd_2,inning,hd_00,outs
1,1 2 3,1,2.300,0.900,0.700,Bottom,1.200,2.100,2.200,1,1.600,2.300,1,1.900,0
1,1 2 3,1,2.600,1.300,1.000,Bottom,1.600,2.600,2.400,1,2.000,2.600,1,2.300,1
1,1 2 3,1,2.700,1.500,1.200,Bottom,2.000,2.900,2.400,1,2.400,2.900,1,2.700,2
1,1 2 _,1,1.900,0.900,0.700,Bottom,1.200,1.900,1.700,0,1.500,2.000,1,1.700,0
1,1 2 _,1,1.900,1.000,0.800,Bottom,1.300,2.000,1.700,0,1.600,2.000,1,1.800,1
1,1 2 _,1,1.500,0.900,0.700,Bottom,1.200,1.700,1.300,0,1.400,1.600,1,1.600,2
0,1 _ 3,1,1.700,0.700,0.500,Bottom,1.000,1.600,1.600,1,1.200,1.700,1,1.400,0
0,1 _ 3,1,1.700,1.000,0.800,Bottom,1.200,1.800,1.500,1,1.500,1.800,1,1.700,1
0,1 _ 3,1,1.600,1.000,0.800,Bottom,1.300,1.800,1.400,1,1.500,1.700,1,1.700,2
0,1 _ _,1,1.400,0.800,0.600,Bottom,1.000,1.500,1.200,0,1.200,1.500,1,1.400,0
0,1 _ _,1,1.100,0.700,0.500,Bottom,0.800,1.200,1.000,0,1.000,1.200,1,1.100,1
0,1 _ _,1,0.700,0.500,0.400,Bottom,0.600,0.800,0.600,0,0.700,0.800,1,0.800,2
1,_ 2 3,0,1.500,0.700,0.500,Bottom,0.900,1.400,1.400,1,1.100,1.500,1,1.300,0
1,_ 2 3,0,1.500,0.800,0.600,Bottom,1.000,1.500,1.400,1,1.200,1.600,1,1.400,1
1,_ 2 3,0,1.800,1.100,0.800,Bottom,1.400,2.000,1.600,1,1.700,2.000,1,1.900,2
1,_ 2 _,0,1.200,0.600,0.500,Bottom,0.800,1.200,1.100,0,1.000,1.300,1,1.100,0
1,_ 2 _,0,1.100,0.700,0.500,Bottom,0.900,1.200,1.000,0,1.000,1.200,1,1.200,1
1,_ 2 _,0,1.000,0.700,0.500,Bottom,0.800,1.100,0.800,0,1.000,1.100,1,1.100,2
0,_ _ 3,0,1.100,0.500,0.400,Bottom,0.700,1.100,1.000,1,0.800,1.100,1,1.000,0
0,_ _ 3,0,1.100,0.800,0.600,Bottom,1.000,1.300,1.000,1,1.100,1.300,1,1.300,1
0,_ _ 3,0,1.100,0.800,0.600,Bottom,1.000,1.300,1.000,1,1.200,1.300,1,1.300,2
0,_ _ _,0,0.800,0.500,0.400,Bottom,0.600,0.900,0.700,0,0.800,0.900,1,0.900,0
0,_ _ _,0,0.600,0.400,0.300,Bottom,0.500,0.700,0.500,0,0.600,0.600,1,0.600,1
0,_ _ _,0,0.400,0.300,0.200,Bottom,0.300,0.400,0.300,0,0.400,0.400,1,0.400,2
1,1 2 3,1,1.100,0.000,0.000,Top,0.000,1.700,0.800,1,0.000,1.400,1,2.000,0
1,1 2 3,1,1.500,0.000,0.000,Top,0.000,2.100,1.100,1,0.000,1.800,1,2.400,1
1,1 2 3,1,1.800,0.000,0.000,Top,0.000,2.500,1.400,1,0.000,2.100,1,2.700,2
1,1 2 _,1,1.100,0.000,0.000,Top,0.000,1.600,0.800,0,0.000,1.300,1,1.800,0
1,1 2 _,1,1.200,0.000,0.000,Top,0.000,1.700,0.900,0,0.000,1.500,1,1.900,1
1,1 2 _,1,1.000,0.000,0.000,Top,0.000,1.500,0.800,0,0.000,1.300,1,1.600,2
0,1 _ 3,1,0.800,0.000,0.000,Top,0.000,1.300,0.600,1,0.000,1.100,1,1.500,0
0,1 _ 3,1,1.100,0.000,0.000,Top,0.000,1.600,0.900,1,0.000,1.300,1,1.700,1
0,1 _ 3,1,1.100,0.000,0.000,Top,0.000,1.600,0.900,1,0.000,1.400,1,1.700,2
0,1 _ _,1,0.900,0.000,0.000,Top,0.000,1.300,0.700,0,0.000,1.100,1,1.400,0
0,1 _ _,1,0.700,0.000,0.000,Top,0.000,1.000,0.600,0,0.000,0.900,1,1.100,1
0,1 _ _,1,0.500,0.000,0.000,Top,0.000,0.700,0.400,0,0.000,0.600,1,0.800,2
1,_ 2 3,0,0.800,0.000,0.000,Top,0.000,1.200,0.600,1,0.000,1.000,1,1.300,0
1,_ 2 3,0,0.900,0.000,0.000,Top,0.000,1.300,0.700,1,0.000,1.100,1,1.400,1
1,_ 2 3,0,1.200,0.000,0.000,Top,0.000,1.700,1.000,1,0.000,1.500,1,1.900,2
1,_ 2 _,0,0.700,0.000,0.000,Top,0.000,1.000,0.600,0,0.000,0.900,1,1.200,0
1,_ 2 _,0,0.800,0.000,0.000,Top,0.000,1.100,0.600,0,0.000,0.900,1,1.200,1
1,_ 2 _,0,0.700,0.000,0.000,Top,0.000,1.000,0.600,0,0.000,0.900,1,1.100,2
0,_ _ 3,0,0.600,0.000,0.000,Top,0.000,0.900,0.500,1,0.000,0.800,1,1.000,0
0,_ _ 3,0,0.900,0.000,0.000,Top,0.000,1.200,0.700,1,0.000,1.000,1,1.300,1
0,_ _ 3,0,0.900,0.000,0.000,Top,0.000,1.200,0.700,1,0.000,1.000,1,1.300,2
0,_ _ _,0,0.600,0.000,0.000,Top,0.000,0.800,0.400,0,0.000,0.700,1,0.900,0
0,_ _ _,0,0.400,0.000,0.000,Top,0.000,0.600,0.300,0,0.000,0.500,1,0.600,1
0,_ _ _,0,0.300,0.000,0.000,Top,0.000,0.400,0.200,0,0.000,0.300,1,0.400,2
1,1 2 3,1,2.400,0.900,0.600,Bottom,1.200,2.200,2.300,1,1.600,2.400,2,1.900,0
1,1 2 3,1,2.700,1.300,0.900,Bottom,1.700,2.700,2.500,1,2.100,2.800,2,2.400,1
1,1 2 3,1,2.800,1.500,1.100,Bottom,2.000,3.100,2.500,1,2.500,3.100,2,2.900,2
1,1 2 _,1,2.000,0.900,0.700,Bottom,1.200,2.000,1.800,0,1.500,2.100,2,1.800,0
1,1 2 _,1,2.000,1.000,0.700,Bottom,1.300,2.100,1.700,0,1.700,2.100,2,2.000,1
1,1 2 _,1,1.600,0.900,0.700,Bottom,1.200,1.800,1.300,0,1.500,1.800,2,1.700,2
0,1 _ 3,1,1.800,0.700,0.500,Bottom,0.900,1.700,1.600,1,1.200,1.800,2,1.500,0
0,1 _ 3,1,1.800,1.000,0.700,Bottom,1.300,1.900,1.500,1,1.600,1.900,2,1.800,1
0,1 _ 3,1,1.700,1.000,0.700,Bottom,1.300,1.900,1.400,1,1.600,1.900,2,1.800,2
0,1 _ _,1,1.500,0.800,0.600,Bottom,1.000,1.600,1.300,0,1.200,1.600,2,1.500,0
0,1 _ _,1,1.200,0.600,0.500,Bottom,0.800,1.300,1.000,0,1.000,1.300,2,1.200,1
0,1 _ _,1,0.800,0.500,0.300,Bottom,0.600,0.900,0.600,0,0.700,0.900,2,0.800,2
1,_ 2 3,0,1.600,0.700,0.500,Bottom,0.900,1.500,1.500,1,1.100,1.600,2,1.300,0
1,_ 2 3,0,1.600,0.800,0.600,Bottom,1.000,1.600,1.400,1,1.300,1.700,2,1.500,1
1,_ 2 3,0,1.900,1.100,0.800,Bottom,1.400,2.100,1.600,1,1.700,2.100,2,2.000,2
1,_ 2 _,0,1.300,0.600,0.400,Bottom,0.800,1.300,1.100,0,1.000,1.300,2,1.200,0
1,_ 2 _,0,1.200,0.700,0.500,Bottom,0.900,1.300,1.000,0,1.100,1.300,2,1.200,1
1,_ 2 _,0,1.000,0.700,0.500,Bottom,0.900,1.200,0.800,0,1.000,1.200,2,1.200,2
0,_ _ 3,0,1.200,0.500,0.400,Bottom,0.700,1.200,1.000,1,0.900,1.200,2,1.000,0
0,_ _ 3,0,1.200,0.800,0.600,Bottom,1.000,1.400,1.000,1,1.200,1.300,2,1.400,1
0,_ _ 3,0,1.200,0.800,0.600,Bottom,1.000,1.400,1.000,1,1.200,1.300,2,1.400,2
0,_ _ _,0,0.900,0.500,0.400,Bottom,0.600,1.000,0.800,0,0.800,1.000,2,0.900,0
0,_ _ _,0,0.600,0.400,0.300,Bottom,0.500,0.700,0.500,0,0.600,0.700,2,0.700,1
0,_ _ _,0,0.400,0.200,0.200,Bottom,0.300,0.500,0.300,0,0.400,0.400,2,0.400,2
1,1 2 3,1,1.100,2.300,2.100,Top,2.400,1.700,0.800,1,2.300,1.400,2,2.000,0
1,1 2 3,1,1.500,2.600,2.300,Top,2.700,2.200,1.100,1,2.700,1.800,2,2.500,1
1,1 2 3,1,1.700,2.600,2.200,Top,2.900,2.600,1.300,1,3.000,2.200,2,2.900,2
1,1 2 _,1,1.100,1.900,1.700,Top,2.000,1.600,0.800,0,2.000,1.400,2,1.900,0
1,1 2 _,1,1.200,1.800,1.600,Top,2.000,1.800,0.900,0,2.100,1.500,2,2.000,1
1,1 2 _,1,1.000,1.400,1.200,Top,1.600,1.500,0.800,0,1.700,1.300,2,1.700,2
0,1 _ 3,1,0.800,1.700,1.500,Top,1.800,1.300,0.600,1,1.700,1.100,2,1.600,0
0,1 _ 3,1,1.100,1.600,1.400,Top,1.800,1.600,0.900,1,1.800,1.400,2,1.800,1
0,1 _ 3,1,1.100,1.500,1.300,Top,1.700,1.600,0.900,1,1.800,1.400,2,1.800,2
0,1 _ _,1,0.900,1.400,1.200,Top,1.500,1.300,0.700,0,1.500,1.100,2,1.500,0
0,1 _ _,1,0.700,1.100,0.900,Top,1.200,1.100,0.600,0,1.300,0.900,2,1.200,1
0,1 _ _,1,0.500,0.700,0.600,Top,0.800,0.800,0.400,0,0.900,0.700,2,0.800,2
1,_ 2 3,0,0.800,1.500,1.400,Top,1.600,1.200,0.600,1,1.500,1.000,2,1.400,0
1,_ 2 3,0,0.900,1.500,1.300,Top,1.600,1.300,0.700,1,1.600,1.100,2,1.500,1
1,_ 2 3,0,1.200,1.700,1.400,Top,2.000,1.800,1.000,1,2.100,1.500,2,2.000,2
1,_ 2 _,0,0.700,1.200,1.000,Top,1.300,1.100,0.500,0,1.300,0.900,2,1.200,0
1,_ 2 _,0,0.800,1.100,0.900,Top,1.200,1.100,0.600,0,1.300,1.000,2,1.200,1
1,_ 2 _,0,0.800,0.900,0.800,Top,1.100,1.100,0.600,0,1.200,0.900,2,1.200,2
0,_ _ 3,0,0.600,1.100,0.900,Top,1.200,0.900,0.400,1,1.100,0.800,2,1.100,0
0,_ _ 3,0,0.900,1.100,0.900,Top,1.300,1.200,0.700,1,1.300,1.100,2,1.300,1
0,_ _ 3,0,0.900,1.100,0.900,Top,1.200,1.300,0.700,1,1.400,1.100,2,1.400,2
0,_ _ _,0,0.600,0.800,0.700,Top,0.900,0.800,0.400,0,1.000,0.700,2,0.900,0
0,_ _ _,0,0.400,0.600,0.500,Top,0.600,0.600,0.300,0,0.700,0.500,2,0.700,1
0,_ _ _,0,0.300,0.300,0.300,Top,0.400,0.400,0.200,0,0.400,0.300,2,0.400,2
1,1 2 3,1,2.600,0.800,0.600,Bottom,1.200,2.400,2.400,1,1.600,2.600,3,2.000,0
1,1 2 3,1,2.900,1.200,0.800,Bottom,1.600,2.900,2.600,1,2.100,3.100,3,2.600,1
1,1 2 3,1,3.000,1.500,1.000,Bottom,2.000,3.400,2.500,1,2.500,3.300,3,3.100,2
1,1 2 _,1,2.100,0.900,0.600,Bottom,1.200,2.200,1.900,0,1.600,2.300,3,1.900,0
1,1 2 _,1,2.100,1.000,0.700,Bottom,1.300,2.300,1.800,0,1.700,2.300,3,2.100,1
1,1 2 _,1,1.700,0.900,0.600,Bottom,1.200,2.000,1.400,0,1.500,1.900,3,1.800,2
0,1 _ 3,1,1.900,0.700,0.400,Bottom,0.900,1.800,1.700,1,1.200,2.000,3,1.500,0
0,1 _ 3,1,1.900,0.900,0.700,Bottom,1.300,2.100,1.600,1,1.600,2.000,3,1.900,1
0,1 _ 3,1,1.800,1.000,0.700,Bottom,1.300,2.100,1.400,1,1.600,2.000,3,1.900,2
0,1 _ _,1,1.600,0.700,0.500,Bottom,1.000,1.700,1.300,0,1.300,1.700,3,1.500,0
0,1 _ _,1,1.200,0.600,0.400,Bottom,0.800,1.400,1.000,0,1.100,1.400,3,1.300,1
0,1 _ _,1,0.800,0.500,0.300,Bottom,0.600,1.000,0.600,0,0.800,0.900,3,0.900,2
1,_ 2 3,0,1.700,0.600,0.400,Bottom,0.900,1.600,1.600,1,1.100,1.800,3,1.400,0
1,_ 2 3,0,1.700,0.800,0.500,Bottom,1.000,1.700,1.500,1,1.300,1.800,3,1.600,1
1,_ 2 3,0,2.000,1.000,0.700,Bottom,1.400,2.300,1.600,1,1.800,2.300,3,2.200,2
1,_ 2 _,0,1.300,0.600,0.400,Bottom,0.800,1.400,1.200,0,1.100,1.500,3,1.300,0
1,_ 2 _,0,1.300,0.600,0.500,Bottom,0.900,1.400,1.000,0,1.100,1.400,3,1.300,1
1,_ 2 _,0,1.100,0.600,0.500,Bottom,0.900,1.300,0.900,0,1.100,1.300,3,1.300,2
0,_ _ 3,0,1.200,0.500,0.300,Bottom,0.700,1.200,1.100,1,0.900,1.300,3,1.100,0
0,_ _ 3,0,1.300,0.700,0.500,Bottom,1.000,1.500,1.000,1,1.300,1.400,3,1.500,1
0,_ _ 3,0,1.200,0.800,0.500,Bottom,1.000,1.600,1.000,1,1.300,1.400,3,1.500,2
0,_ _ _,0,0.900,0.500,0.300,Bottom,0.600,1.100,0.800,0,0.800,1.000,3,1.000,0
0,_ _ _,0,0.700,0.400,0.300,Bottom,0.500,0.800,0.500,0,0.600,0.700,3,0.700,1
0,_ _ _,0,0.400,0.200,0.200,Bottom,0.300,0.500,0.300,0,0.400,0.500,3,0.500,2
1,1 2 3,1,1.000,2.500,2.300,Top,2.600,1.800,0.700,1,2.400,1.400,3,2.100,0
1,1 2 3,1,1.400,2.700,2.400,Top,2.900,2.300,1.100,1,2.900,1.900,3,2.700,1
1,1 2 3,1,1.700,2.700,2.300,Top,3.100,2.700,1.300,1,3.300,2.200,3,3.100,2
1,1 2 _,1,1.000,2.000,1.700,Top,2.100,1.700,0.800,0,2.200,1.400,3,2.000,0
1,1 2 _,1,1.200,1.900,1.600,Top,2.100,1.800,0.900,0,2.200,1.500,3,2.100,1
1,1 2 _,1,1.000,1.500,1.200,Top,1.800,1.600,0.800,0,1.900,1.300,3,1.800,2
0,1 _ 3,1,0.800,1.800,1.600,Top,1.900,1.400,0.600,1,1.800,1.100,3,1.600,0
0,1 _ 3,1,1.100,1.700,1.500,Top,1.900,1.700,0.800,1,2.000,1.400,3,1.900,1
0,1 _ 3,1,1.100,1.600,1.300,Top,1.900,1.700,0.800,1,2.000,1.400,3,1.900,2
0,1 _ _,1,0.900,1.400,1.200,Top,1.600,1.400,0.600,0,1.700,1.100,3,1.600,0
0,1 _ _,1,0.700,1.100,0.900,Top,1.300,1.200,0.500,0,1.400,1.000,3,1.300,1
0,1 _ _,1,0.500,0.700,0.600,Top,0.800,0.800,0.400,0,0.900,0.700,3,0.900,2
1,_ 2 3,0,0.800,1.600,1.400,Top,1.700,1.200,0.500,1,1.600,1.000,3,1.500,0
1,_ 2 3,0,0.900,1.600,1.300,Top,1.700,1.400,0.700,1,1.700,1.200,3,1.600,1
1,_ 2 3,0,1.200,1.800,1.500,Top,2.100,1.900,0.900,1,2.200,1.600,3,2.200,2
1,_ 2 _,0,0.700,1.200,1.000,Top,1.400,1.100,0.500,0,1.400,0.900,3,1.300,0
1,_ 2 _,0,0.800,1.100,0.900,Top,1.300,1.200,0.600,0,1.400,1.000,3,1.300,1
1,_ 2 _,0,0.800,1.000,0.800,Top,1.100,1.100,0.600,0,1.300,1.000,3,1.300,2
0,_ _ 3,0,0.600,1.100,1.000,Top,1.200,1.000,0.400,1,1.200,0.800,3,1.100,0
0,_ _ 3,0,0.900,1.100,0.900,Top,1.300,1.300,0.600,1,1.500,1.100,3,1.500,1
0,_ _ 3,0,0.900,1.100,0.900,Top,1.300,1.300,0.700,1,1.500,1.100,3,1.500,2
0,_ _ _,0,0.600,0.900,0.700,Top,1.000,0.900,0.400,0,1.000,0.700,3,1.000,0
0,_ _ _,0,0.400,0.600,0.500,Top,0.700,0.600,0.300,0,0.700,0.500,3,0.700,1
0,_ _ _,0,0.300,0.400,0.300,Top,0.400,0.400,0.200,0,0.500,0.400,3,0.500,2
1,1 2 3,1,2.800,0.800,0.500,Bottom,1.100,2.600,2.600,1,1.600,2.800,4,2.100,0
1,1 2 3,1,3.200,1.100,0.700,Bottom,1.600,3.200,2.700,1,2.200,3.300,4,2.800,1
1,1 2 3,1,3.200,1.400,0.900,Bottom,1.900,3.700,2.600,1,2.600,3.600,4,3.300,2
1,1 2 _,1,2.300,0.800,0.500,Bottom,1.100,2.400,2.000,0,1.600,2.500,4,2.000,0
1,1 2 _,1,2.200,0.900,0.600,Bottom,1.300,2.500,1.800,0,1.800,2.500,4,2.200,1
1,1 2 _,1,1.800,0.800,0.600,Bottom,1.200,2.200,1.400,0,1.600,2.100,4,2.000,2
0,1 _ 3,1,2.100,0.600,0.400,Bottom,0.900,2.000,1.800,1,1.200,2.100,4,1.600,0
0,1 _ 3,1,2.000,0.900,0.600,Bottom,1.300,2.300,1.700,1,1.700,2.200,4,2.100,1
0,1 _ 3,1,1.900,0.900,0.600,Bottom,1.300,2.300,1.500,1,1.700,2.200,4,2.100,2
0,1 _ _,1,1.700,0.700,0.500,Bottom,1.000,1.900,1.400,0,1.300,1.900,4,1.700,0
0,1 _ _,1,1.300,0.600,0.400,Bottom,0.800,1.600,1.000,0,1.100,1.500,4,1.400,1
0,1 _ _,1,0.800,0.400,0.300,Bottom,0.600,1.100,0.700,0,0.800,1.000,4,1.000,2
1,_ 2 3,0,1.900,0.600,0.400,Bottom,0.800,1.800,1.700,1,1.100,1.900,4,1.500,0
1,_ 2 3,0,1.800,0.700,0.500,Bottom,1.000,1.900,1.600,1,1.400,2.000,4,1.700,1
1,_ 2 3,0,2.100,1.000,0.700,Bottom,1.400,2.600,1.700,1,1.900,2.500,4,2.300,2
1,_ 2 _,0,1.400,0.500,0.400,Bottom,0.800,1.600,1.200,0,1.100,1.600,4,1.400,0
1,_ 2 _,0,1.300,0.600,0.400,Bottom,0.900,1.600,1.100,0,1.200,1.500,4,1.400,1
1,_ 2 _,0,1.100,0.600,0.400,Bottom,0.900,1.500,0.900,0,1.100,1.400,4,1.400,2
0,_ _ 3,0,1.300,0.400,0.300,Bottom,0.600,1.400,1.100,1,0.900,1.400,4,1.100,0
0,_ _ 3,0,1.300,0.700,0.500,Bottom,1.000,1.700,1.000,1,1.300,1.600,4,1.600,1
0,_ _ 3,0,1.300,0.700,0.500,Bottom,1.000,1.700,1.000,1,1.300,1.600,4,1.600,2
0,_ _ _,0,1.000,0.400,0.300,Bottom,0.600,1.200,0.800,0,0.900,1.100,4,1.100,0
0,_ _ _,0,0.700,0.300,0.200,Bottom,0.500,0.900,0.500,0,0.600,0.800,4,0.800,1
0,_ _ _,0,0.400,0.200,0.200,Bottom,0.300,0.600,0.300,0,0.400,0.500,4,0.500,2
1,1 2 3,1,1.000,2.700,2.400,Top,2.800,1.800,0.700,1,2.600,1.400,4,2.200,0
1,1 2 3,1,1.400,2.900,2.400,Top,3.200,2.400,1.000,1,3.100,1.900,4,2.900,1
1,1 2 3,1,1.700,2.900,2.300,Top,3.400,2.900,1.200,1,3.600,2.300,4,3.400,2
1,1 2 _,1,1.000,2.100,1.800,Top,2.300,1.800,0.700,0,2.300,1.400,4,2.100,0
1,1 2 _,1,1.100,2.000,1.600,Top,2.300,1.900,0.800,0,2.400,1.500,4,2.300,1
1,1 2 _,1,1.000,1.600,1.200,Top,1.900,1.700,0.700,0,2.100,1.400,4,2.000,2
0,1 _ 3,1,0.800,1.900,1.700,Top,2.100,1.400,0.500,1,2.000,1.000,4,1.700,0
0,1 _ 3,1,1.100,1.800,1.500,Top,2.100,1.800,0.800,1,2.200,1.400,4,2.100,1
0,1 _ 3,1,1.100,1.700,1.300,Top,2.000,1.800,0.800,1,2.200,1.500,4,2.100,2
0,1 _ _,1,0.800,1.500,1.200,Top,1.700,1.400,0.600,0,1.800,1.100,4,1.700,0
0,1 _ _,1,0.700,1.200,0.900,Top,1.400,1.200,0.500,0,1.500,1.000,4,1.400,1
0,1 _ _,1,0.500,0.700,0.600,Top,0.900,0.900,0.400,0,1.000,0.700,4,1.000,2
1,_ 2 3,0,0.700,1.700,1.500,Top,1.800,1.300,0.500,1,1.800,1.000,4,1.600,0
1,_ 2 3,0,0.900,1.700,1.400,Top,1.900,1.500,0.600,1,1.900,1.200,4,1.700,1
1,_ 2 3,0,1.200,1.900,1.500,Top,2.300,2.000,0.900,1,2.500,1.600,4,2.400,2
1,_ 2 _,0,0.700,1.300,1.100,Top,1.500,1.200,0.500,0,1.500,0.900,4,1.400,0
1,_ 2 _,0,0.700,1.200,0.900,Top,1.400,1.200,0.500,0,1.500,1.000,4,1.500,1
1,_ 2 _,0,0.700,1.000,0.700,Top,1.200,1.200,0.500,0,1.400,1.000,4,1.400,2
0,_ _ 3,0,0.600,1.200,1.000,Top,1.300,1.000,0.400,1,1.300,0.800,4,1.200,0
0,_ _ 3,0,0.900,1.200,0.900,Top,1.400,1.400,0.600,1,1.600,1.100,4,1.600,1
0,_ _ 3,0,0.900,1.100,0.800,Top,1.400,1.400,0.600,1,1.600,1.200,4,1.600,2
0,_ _ _,0,0.500,0.900,0.700,Top,1.100,0.900,0.400,0,1.100,0.700,4,1.100,0
0,_ _ _,0,0.400,0.600,0.500,Top,0.700,0.700,0.300,0,0.800,0.500,4,0.800,1
0,_ _ _,0,0.300,0.400,0.300,Top,0.500,0.500,0.200,0,0.500,0.400,4,0.500,2
1,1 2 3,1,3.100,0.700,0.400,Bottom,1.000,2.800,2.800,1,1.500,3.100,5,2.200,0
1,1 2 3,1,3.400,1.000,0.600,Bottom,1.500,3.500,2.900,1,2.200,3.700,5,3.000,1
1,1 2 3,1,3.400,1.200,0.800,Bottom,1.800,4.200,2.700,1,2.700,4.000,5,3.600,2
1,1 2 _,1,2.500,0.700,0.400,Bottom,1.100,2.600,2.100,0,1.600,2.700,5,2.200,0
1,1 2 _,1,2.400,0.800,0.500,Bottom,1.200,2.800,1.900,0,1.800,2.800,5,2.400,1
1,1 2 _,1,1.900,0.800,0.500,Bottom,1.100,2.500,1.400,0,1.600,2.300,5,2.200,2
0,1 _ 3,1,2.300,0.500,0.300,Bottom,0.800,2.200,1.900,1,1.200,2.400,5,1.700,0
0,1 _ 3,1,2.200,0.800,0.500,Bottom,1.200,2.600,1.700,1,1.700,2.500,5,2.300,1
0,1 _ 3,1,2.000,0.800,0.500,Bottom,1.200,2.600,1.500,1,1.800,2.400,5,2.400,2
0,1 _ _,1,1.800,0.600,0.400,Bottom,0.900,2.100,1.400,0,1.300,2.100,5,1.800,0
0,1 _ _,1,1.400,0.500,0.300,Bottom,0.800,1.800,1.100,0,1.200,1.700,5,1.500,1
0,1 _ _,1,0.900,0.400,0.200,Bottom,0.600,1.200,0.600,0,0.800,1.100,5,1.100,2
1,_ 2 3,0,2.100,0.500,0.300,Bottom,0.800,2.000,1.800,1,1.100,2.100,5,1.600,0
1,_ 2 3,0,2.000,0.600,0.400,Bottom,1.000,2.100,1.600,1,1.400,2.200,5,1.900,1
1,_ 2 3,0,2.300,0.900,0.600,Bottom,1.300,3.000,1.700,1,1.900,2.800,5,2.600,2
1,_ 2 _,0,1.600,0.500,0.300,Bottom,0.700,1.800,1.200,0,1.100,1.800,5,1.500,0
1,_ 2 _,0,1.400,0.500,0.300,Bottom,0.800,1.800,1.100,0,1.200,1.700,5,1.600,1
1,_ 2 _,0,1.200,0.600,0.400,Bottom,0.800,1.700,0.800,0,1.200,1.500,5,1.600,2
0,_ _ 3,0,1.500,0.400,0.200,Bottom,0.600,1.500,1.200,1,0.900,1.600,5,1.200,0
0,_ _ 3,0,1.400,0.600,0.400,Bottom,1.000,2.000,1.000,1,1.400,1.700,5,1.800,1
0,_ _ 3,0,1.300,0.700,0.400,Bottom,1.000,2.000,0.900,1,1.400,1.700,5,1.900,2
0,_ _ _,0,1.100,0.400,0.300,Bottom,0.600,1.300,0.800,0,0.900,1.300,5,1.200,0
